full_label	tag	aux_document	local_label
algebra-lemma-finite-projective	00NX	algebra	lemma-finite-projective
algebra-lemma-flat-finite-presentation-limit-flat	02JO	algebra	lemma-flat-finite-presentation-limit-flat
algebra-lemma-module-map-property-in-colimit	05LI	algebra	lemma-module-map-property-in-colimit
algebra-lemma-NAK	00DV	algebra	lemma-NAK
algebraic-lemma-2-fibre-product	04T2	algebraic	lemma-2-fibre-product
algebraic-lemma-characterize-representable-by-space	02ZX	algebraic	lemma-characterize-representable-by-space
algebraic-lemma-criterion-map-representable-spaces-fibred-in-groupoids	02ZY	algebraic	lemma-criterion-map-representable-spaces-fibred-in-groupoids
algebraic-lemma-representable-diagonal	045G	algebraic	lemma-representable-diagonal
algebraic-lemma-representable-morphism-to-algebraic	05UM	algebraic	lemma-representable-morphism-to-algebraic
algebraic-proposition-algebraic-stack-no-automorphisms	04SZ	algebraic	proposition-algebraic-stack-no-automorphisms
algebraic-section-change-base-scheme	04X4	algebraic	section-change-base-scheme
algebraic-section-morphisms-representable-by-algebraic-spaces	04SX	algebraic	section-morphisms-representable-by-algebraic-spaces
algebraic-section-representable-by-algebraic-spaces	02ZV	algebraic	section-representable-by-algebraic-spaces
algebraic-section-representable-morphism	04ST	algebraic	section-representable-morphism
algebraic-section-representable-properties	03YJ	algebraic	section-representable-properties
algebraic-section-split	04SU	algebraic	section-split
algebraic-section-stacks-spaces	03YR	algebraic	section-stacks-spaces
artin-definition-limit-preserving	07XL	artin	definition-limit-preserving
artin-definition-obstruction-theory	07YG	artin	definition-obstruction-theory
artin-definition-openness-versality	07XQ	artin	definition-openness-versality
artin-equation-approximation	07X6	artin	equation-approximation
artin-lemma-deformation-category	07WU	artin	lemma-deformation-category
artin-lemma-diagonal-representable	07Y4	artin	lemma-diagonal-representable
artin-lemma-dual-obstruction	07YY	artin	lemma-dual-obstruction
artin-lemma-dual-openness	07YZ	artin	lemma-dual-openness
artin-lemma-effective	07X8	artin	lemma-effective
artin-lemma-fibre-product-tangent-spaces	07X2	artin	lemma-fibre-product-tangent-spaces
artin-lemma-finite-dimension	07X1	artin	lemma-finite-dimension
artin-lemma-get-openness-obstruction-theory	0CYF	artin	lemma-get-openness-obstruction-theory
artin-lemma-properties-lift-RS-star	07Y9	artin	lemma-properties-lift-RS-star
artin-lemma-pushout	07WN	artin	lemma-pushout
artin-lemma-SGE-implies-openness-versality	0CXU	artin	lemma-SGE-implies-openness-versality
artin-proposition-spaces-diagonal-representable	07Y1	artin	proposition-spaces-diagonal-representable
artin-remark-compare-deformation-spaces	0D18	artin	remark-compare-deformation-spaces
artin-remark-strong-effectiveness	0CXT	artin	remark-strong-effectiveness
artin-section-axioms	07XJ	artin	section-axioms
artin-section-formal-objects	07X3	artin	section-formal-objects
artin-section-inf	07Y6	artin	section-inf
artin-section-predeformation-categories	07T2	artin	section-predeformation-categories
artin-section-RS-star	0CXN	artin	section-RS-star
artin-section-strong-formal-effectiveness	0CXR	artin	section-strong-formal-effectiveness
artin-section-tangent-spaces	07WY	artin	section-tangent-spaces
artin-situation-dual	07YX	artin	situation-dual
bootstrap-lemma-descend-algebraic-space	0ADV	bootstrap	lemma-descend-algebraic-space
bootstrap-lemma-locally-algebraic-space	04SK	bootstrap	lemma-locally-algebraic-space
bootstrap-lemma-locally-algebraic-space-finite-type	04U0	bootstrap	lemma-locally-algebraic-space-finite-type
bootstrap-section-applications	04SJ	bootstrap	section-applications
bootstrap-theorem-final-bootstrap	04S6	bootstrap	theorem-final-bootstrap
categories-definition-fibred-groupoids	003T	categories	definition-fibred-groupoids
categories-lemma-fibred-groupoids	003V	categories	lemma-fibred-groupoids
categories-lemma-fibred-over-fibred	09WV	categories	lemma-fibred-over-fibred
categories-lemma-yoneda-2category	004B	categories	lemma-yoneda-2category
cohomology-lemma-bounded-flat-K-flat	06YD	cohomology	lemma-bounded-flat-K-flat
constructions-lemma-base-change-map-proj	01N2	constructions	lemma-base-change-map-proj
cotangent-section-deformations-ringed-topoi	08V3	cotangent	section-deformations-ringed-topoi
criteria-definition-algebraic	06CF	criteria	definition-algebraic
criteria-lemma-diagonals-and-algebraic-morphisms	0D3R	criteria	lemma-diagonals-and-algebraic-morphisms
criteria-section-relative-morphisms	05Y0	criteria	section-relative-morphisms
defos-lemma-deform-fp-module-ringed-topoi	08VU	defos	lemma-deform-fp-module-ringed-topoi
defos-lemma-deform-module-ringed-topoi	08MQ	defos	lemma-deform-module-ringed-topoi
defos-lemma-deform-spaces	0D17	defos	lemma-deform-spaces
defos-lemma-first-order-defos-complex	0DIZ	defos	lemma-first-order-defos-complex
defos-lemma-flat-ringed-topoi	08VW	defos	lemma-flat-ringed-topoi
defos-lemma-functorial-ringed-topoi	0CYE	defos	lemma-functorial-ringed-topoi
defos-lemma-thickening-over-thickening-space-quasi-coherent	0D3Q	defos	lemma-thickening-over-thickening-space-quasi-coherent
defos-lemma-verify-iv-ringed-topoi	08VY	defos	lemma-verify-iv-ringed-topoi
derived-lemma-negative-vanishing	05TC	derived	lemma-negative-vanishing
descent-lemma-descending-fppf-property-immersion	02YM	descent	lemma-descending-fppf-property-immersion
descent-proposition-fpqc-descent-quasi-coherent	023T	descent	proposition-fpqc-descent-quasi-coherent
divisors-lemma-relative-proj-finite-presentation	0D4D	divisors	lemma-relative-proj-finite-presentation
